file,date,timestamp,asset,direction,horizon_days,entry,stop,target,claim
IMG_7799,2025-10-11,2025-10-11 03:55,BTC,,,,,,"[TradingView chart attachment] Bitcoin/TetherUS PERPETUAL CONTRACT 12h Binance ... H122,470 L101585 C1128113-86819 (-25) - oneofonebatman created with TradingView.com, Oct 11, 2025 03:54 UTC+5:30"
IMG_7800,2026-02-15,2026-02-15 01:44,BTC,,,,,,waiting for btc to hit 79k...
IMG_7800,2026-02-15,2026-02-15 01:50,BTC,,,,,,with patience !!!
IMG_7800,2026-02-15,2026-02-15 01:50,BTC,,,,,,@everyone personally speaking I hate listening to noise
IMG_7791,2026-03-01,2026-03-01 09:59,BTC,,,,,,"MEMORANDUM Subject: Strategy Update: BTC/USDT Key Levels Execution Summary In line with our risk management framework, we recently distributed 50% of our position at the $69,011 resistance level (green baseline). We have since redeployed that capital, actively accumulating within our primary support"
IMG_7793,2026-03-01,2026-03-01 10:10,BTC,,,,,,"@everyone do give me a feedback how can i make it more informative or any change in writing style, i appreciate each & every single one of you !!! Ty & love to each of you, each & every single member of this community is my family, i appreciate all the love & support"
IMG_7793,2026-03-02,2026-03-02 03:39,BTC,,,,,,"Huge Week Coming for financial market, Crisis = Opportunity"
IMG_7793,2026-03-02,2026-03-02 04:10,BTC,,,,,,"#Altcoin dominance (monthly) has broken out, indicating a clear regime shift. Our signal framework is now flashing conditions last observed in June 2020."
IMG_7794,2026-03-02,2026-03-02 07:07,BTC,,,,,,"Okay yes I'm {long) with Hefty amount already at avg rn sitting at 64.3k per btc, look closely blue and green line daily open 4H time frame. I'm not a day trader. But incase you are a day trader blue line & green line where everything and all u need to look at.. • 64.3k per btc I'm long 5x LV I have"
IMG_7796,2026-03-02,2026-03-02 07:21,LINK,,,,,,"When the market will be intresting everybody will in denial, btc is down 57% {126k - 60k} i longed 63-70k than again 64k -70k now I'll be just holding this sideways movement blue & green line is all i'm looking at its boring but i just don't wanna catch falling knives day trading 3-4k moves and brag"
IMG_7796,2026-03-03,2026-03-03 02:03,LINK,,,,,,& the market confirmed @everyone as i said i don't listen to noise which most of are listening too
IMG_7797,2026-03-03,2026-03-03 02:03,LINK,,,,,,Market confirmed
IMG_7797,2026-03-04,2026-03-04 19:26,LINK,,,,,,"[attachment: LINK/USD position panel] POSITION LINK/USD 6.91x Long — ENTRY PRICE $8.7933, MARK PRICE $9.2140, LIQUIDATION PRICE $7.5495, COLLATERAL $144,891.46, position value $1,000,814.99"
IMG_7797,2026-03-04,2026-03-04 19:31,LINK,,,,,,"@everyone I hope everybody is having a great week!!! I appreciate all of you, Love you all - ACE"
IMG_7798,2026-03-05,2026-03-05 00:54,BTC,,,,,,Every wanna be is in denial
IMG_7798,2026-03-09,2026-03-09 21:35,BTC,,,,,,Must to look at
IMG_7798,2026-03-09,2026-03-09 21:36,BTC,,,,,,Also... 79k is what am i looking at.. atm
IMG_7799,2026-03-09,2026-03-09 21:44,BTC,,,,,,I'm heavy on link & i didn't pull my money out yet
IMG_7799,2026-03-09,2026-03-09 22:33,BTC,,,,,,"I shorted btc at this level at 40x lv, I remember doing it all by myself alone... I understand this market better than anybody else in this whole world"
IMG_7799,2026-03-09,2026-03-09 22:33,BTC,,,,,,"and as I've said earlier I'm patiently waiting btc to hit 79k along the alt coins like I'm heavy invested in such as xrp,link"
IMG_7799,2026-03-09,2026-03-09 22:33,BTC,,,,,,I'm the greatest trader alive no doubt
IMG_7801,2026-03-13,2026-03-13 23:27,BTC,,,,,,Just got out of the match... I'm quite most of the time even looking at what's goin on { when i posted we not going lower than 66k - most people thought they missed out when it went to 67.5-68k) what's the point? Now you missed out on 6k move. Think wisely it's never been about money it's been alway
IMG_7801,2026-03-13,2026-03-13 23:38,BTC,,,,,,"[position-panel attachment] Positions 3 POSITION / Orders 6 Trades / NET VALUE / COLLATERAL / ENTRY PRICE / MARK PRICE / LIQUIDATION PRICE - values OCR'd as 81.000814.99, 89.3236, 87.3219, $228.28928, $173.009.79, 38.7933"
IMG_7801+IMG_7802,2026-03-13,2026-03-13 23:56,BTC,,,,,,"After [chart attachment] Bitcoin/USD Tether Perpetual C... 72,107.4 +1,625.0 (+2.31%) - BTCUSD 2H"
IMG_7803,2026-03-14,2026-03-14 00:00,BTC,,,,,,I proved myself again & again I don't post news because I'm not a news channel I don't post a pic from my insane terminal to make my self look cool..
IMG_7803,2026-03-14,2026-03-14 00:00,BTC,,,,,,I try my best to make it less complicated I appreciate & love all of you - ACE
IMG_7803,2026-03-14,2026-03-14 08:47,BTC,,,,,,A lot of people would not believe it but let me just spoil it out for you guys btc rn even though i shorted at the region.. BTC rn should be at 150k no doubt the price is being MANIPULATED { PPM } ...
IMG_7803+IMG_7804,2026-03-14,2026-03-14 08:55,BTC,,,,,,"That grey region is made for shorts... I do complex stuff behind the scene to get you a clearer image, you are listening to a actual market maker atm"
IMG_7803,2026-03-14,2026-03-14 10:07,BTC,,,,,,Everything depends on the green line nov↓
IMG_7804,2026-03-14,2026-03-14 10:07,LINK,,,,,,Everything depends on the green line now...
IMG_7804,2026-03-14,2026-03-14 17:46,LINK,,,,,,Sunday dumps can't be trusted - Today is staturday (1:45 pm)
IMG_7804,2026-03-16,2026-03-16 06:54,LINK,,,,,,King of market....
IMG_7804+IMG_7805,2026-03-16,2026-03-16 07:09,LINK,,,,,,"The whole market went parabolic while we all were on call (that's a sign), I appreciate & love all of you - ACE @everyone"
IMG_7805,2026-03-17,2026-03-17 09:23,LINK,,,,,,"Count on me on the days when you feel lost, I will guide you - ACE"
IMG_7805,2026-03-17,2026-03-17 11:36,LINK,,,,,,@everyone start taking profit
IMG_7805+IMG_7806,2026-03-17,2026-03-17 15:23,LINK,,,,,,"There's a way of taking profits, you don't go 100% full take profit, you go like 50% move your sl to you entry... Little by Little & I don't feel we topped yet tbh"
IMG_7806,2026-03-17,2026-03-17 15:59,BTC,,,,,,BTC went from 64 to 76k { ofc majority of people will sell into this levels } what I'm thinking right is as usual chill take some profits & spend it on your fav stuff why we need to strees? no point... if i have to take shorts i'll be looking at 79-81k's levels
IMG_7806,2026-03-17,2026-03-17 15:59,BTC,,,,,,"Time to just chill relax spend profits and wait for the right move, we already up heavy - ACE"
IMG_7806,2026-03-17,2026-03-17 18:24,BTC,,,,,,"Current thoughts about BTC [chart attachment] Bitcoin/USD Tether Perpetual C... 74,279.6 -554.8 (-0.74%)"
IMG_7790,2026-07-20,2026-07-20 03:59,XRP,,,,,,-The whole crypto market is on the verge of a breakout
IMG_7790,2026-07-21,2026-07-21 14:00,XRP,,,,,,"XRP's price action is signaling a potential trend reversal (inverse head and shoulder), with multiple technical factors reinforcing the upside bias This is an actual - FOMO"
